Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$2.10,$2.14,$2.09,$2.11,"$2,867,660","$2,109,886,393"
09/04/2021,$2.10,$2.11,$2.08,$2.10,"$2,580,102","$2,093,983,211"
08/04/2021,$2.07,$2.12,$2.07,$2.10,"$2,893,011","$2,099,076,970"
07/04/2021,$2.09,$2.12,$2.06,$2.08,"$2,800,513","$2,074,671,809"
06/04/2021,$2.03,$2.09,$1.99,$2.09,"$2,968,779","$2,093,151,846"
05/04/2021,$2.02,$2.06,$1.98,$2.02,"$2,728,940","$2,022,433,931"
04/04/2021,$2.03,$2.06,$1.99,$2.02,"$2,628,389","$2,016,754,742"
03/04/2021,$2.04,$2.06,$2.01,$2.02,"$2,757,203","$2,023,426,110"
02/04/2021,$2.05,$2.07,$2.02,$2.04,"$2,824,048","$2,037,331,025"
01/04/2021,$2.04,$2.06,$2.03,$2.05,"$2,936,218","$2,045,938,197"
31/03/2021,$2.07,$2.10,$2.03,$2.04,"$3,466,138","$2,038,092,850"
30/03/2021,$2.11,$2.13,$2.05,$2.07,"$3,197,305","$2,067,073,949"
29/03/2021,$2.15,$2.17,$2.11,$2.11,"$1,011,659","$2,113,909,313"
28/03/2021,$2.15,$2.18,$2.11,$2.15,"$2,524,679","$2,153,265,300"
27/03/2021,$2.14,$2.16,$2.12,$2.15,"$3,067,853","$2,150,154,583"
26/03/2021,$2.13,$2.15,$2.10,$2.14,"$3,576,435","$2,143,765,479"
25/03/2021,$2.10,$2.16,$2.08,$2.12,"$1,569,652","$2,115,331,835"
24/03/2021,$2.12,$2.16,$2.07,$2.10,"$2,772,631","$2,101,044,775"
23/03/2021,$2.12,$2.15,$2.09,$2.13,"$2,631,112","$2,124,365,859"
22/03/2021,$2.12,$2.15,$2.08,$2.12,"$771,381","$2,120,206,504"
21/03/2021,$2.10,$2.14,$2.09,$2.12,"$2,852,567","$2,118,911,615"
20/03/2021,$2.12,$2.14,$2.09,$2.10,"$2,549,584","$2,099,201,347"
19/03/2021,$2.12,$2.14,$2.09,$2.12,"$2,514,598","$2,123,345,691"
18/03/2021,$2.12,$2.14,$1.97,$2.12,"$2,918,316","$2,115,561,975"
17/03/2021,$2.05,$2.14,$2.04,$2.12,"$3,402,161","$2,114,691,264"
16/03/2021,$2.03,$2.08,$1.99,$2.05,"$2,374,966","$2,052,825,045"
15/03/2021,$2.00,$2.06,$1.96,$2.03,"$1,769,941","$2,024,959,360"
14/03/2021,$2.01,$2.04,$1.95,$2.00,"$2,773,691","$1,999,909,450"
13/03/2021,$2.00,$2.10,$1.94,$2.00,"$2,313,080","$2,000,487,038"
12/03/2021,$2.06,$2.10,$1.95,$1.99,"$2,021,189","$1,989,287,518"
11/03/2021,$2.02,$2.07,$2.01,$2.06,"$581,042","$2,055,058,225"
10/03/2021,$2.00,$2.03,$1.95,$2.01,"$1,755,778","$2,013,927,772"
09/03/2021,$1.92,$2.00,$1.91,$2.00,"$1,419,434","$1,994,309,157"
08/03/2021,$1.88,$1.95,$1.88,$1.92,"$487,591","$1,915,201,069"
07/03/2021,$1.91,$1.95,$1.84,$1.88,"$1,195,936","$1,875,607,970"
06/03/2021,$1.88,$1.94,$1.86,$1.91,"$2,069,725","$1,907,065,972"
05/03/2021,$1.91,$1.91,$1.85,$1.88,"$1,621,834","$1,874,442,769"
04/03/2021,$1.92,$1.94,$1.89,$1.91,"$938,839","$1,908,418,110"
03/03/2021,$1.92,$2.04,$1.92,$1.92,"$1,225,063","$1,917,885,891"
02/03/2021,$2.10,$2.12,$1.91,$1.92,"$2,237,418","$1,920,478,017"
01/03/2021,$1.91,$2.11,$1.90,$2.10,"$2,278,010","$2,100,519,100"
28/02/2021,$2.04,$2.04,$1.86,$1.91,"$3,194,691","$1,907,793,100"
27/02/2021,$2.02,$2.07,$1.99,$2.03,"$1,062,552","$2,030,013,497"
26/02/2021,$1.94,$2.02,$1.88,$2.02,"$3,593,172","$2,017,622,072"
25/02/2021,$1.93,$2.11,$1.93,$1.94,"$3,574,500","$1,939,956,828"
24/02/2021,$1.96,$2.10,$1.88,$1.93,"$3,323,239","$1,928,053,583"
23/02/2021,$1.51,$2.10,$1.51,$1.96,"$25,735,538","$1,955,146,106"
22/02/2021,$1.48,$1.51,$1.44,$1.51,"$8,300,577","$1,510,805,874"
21/02/2021,$1.52,$1.52,$1.48,$1.48,"$4,081,253","$1,483,328,593"
20/02/2021,$1.56,$1.62,$1.52,$1.52,"$7,885,982","$1,521,827,399"
19/02/2021,$1.39,$1.56,$1.38,$1.56,"$20,667,293","$1,558,543,903"
18/02/2021,$1.39,$1.39,$1.38,$1.39,"$1,849,289","$1,385,106,985"
17/02/2021,$1.38,$1.39,$1.38,$1.39,"$17,543,048","$1,384,681,716"
16/02/2021,$1.38,$1.39,$1.38,$1.38,"$18,030,989","$1,382,126,064"
15/02/2021,$1.38,$1.39,$1.38,$1.38,"$18,125,550","$1,381,659,555"
14/02/2021,$1.39,$1.39,$1.38,$1.38,"$18,977,529","$1,383,603,781"
13/02/2021,$1.38,$1.39,$1.38,$1.39,"$20,128,807","$1,391,779,315"
12/02/2021,$1.38,$1.39,$1.38,$1.38,"$19,335,507","$1,383,101,267"
