Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$1.00,$1.00,$0.999,$1.00,"$1,645,041,684","$10,694,274,869"
01/04/2021,$0.9997,$1.00,$0.9994,$1.00,"$1,515,653,266","$10,640,299,852"
31/03/2021,$1.00,$1.00,$0.9992,$0.9996,"$1,589,845,937","$10,656,787,148"
30/03/2021,$1.00,$1.00,$0.9993,$1.00,"$1,506,313,602","$10,672,829,323"
29/03/2021,$1.00,$1.00,$0.9994,$1.00,"$1,535,871,374","$10,555,729,469"
28/03/2021,$1.00,$1.00,$1.00,$1.00,"$1,294,220,918","$10,768,922,656"
27/03/2021,$1.00,$1.00,$0.9998,$1.00,"$1,340,283,946","$10,657,171,951"
26/03/2021,$1.00,$1.00,$0.9993,$1.00,"$1,591,672,366","$10,588,724,708"
25/03/2021,$1.00,$1.00,$1.00,$1.00,"$1,646,557,726","$10,338,431,177"
24/03/2021,$1.00,$1.00,$0.9999,$1.00,"$1,916,803,425","$10,167,631,689"
23/03/2021,$1.00,$1.00,$1.00,$1.00,"$1,511,795,325","$10,090,872,105"
22/03/2021,$1.00,$1.00,$0.9991,$1.00,"$1,380,781,628","$10,036,692,734"
21/03/2021,$1.00,$1.00,$0.9993,$1.00,"$1,265,098,606","$9,918,143,113"
20/03/2021,$1.00,$1.00,$1.00,$1.00,"$1,191,670,789","$9,848,966,630"
19/03/2021,$1.00,$1.00,$1.00,$1.00,"$1,472,879,184","$9,767,228,911"
18/03/2021,$0.9989,$1.00,$0.9987,$1.00,"$1,525,693,757","$9,481,988,796"
17/03/2021,$1,$1.00,$0.9987,$0.9989,"$1,782,793,504","$9,352,365,810"
16/03/2021,$1.00,$1.00,$0.9996,$1,"$1,868,824,949","$9,278,101,102"
15/03/2021,$0.9999,$1.00,$0.9993,$1.00,"$1,927,366,887","$9,337,446,568"
14/03/2021,$1.00,$1.00,$0.9998,$1,"$1,544,999,695","$9,276,209,312"
13/03/2021,$1.00,$1.00,$0.9999,$1.00,"$2,044,348,842","$9,266,074,221"
12/03/2021,$1.00,$1.00,$0.9998,$1.00,"$1,612,404,621","$9,135,678,065"
11/03/2021,$1.00,$1.00,$0.9998,$1.00,"$1,487,841,641","$9,130,585,980"
10/03/2021,$1.00,$1.00,$0.9999,$1.00,"$1,751,024,086","$8,967,187,808"
09/03/2021,$1,$1.00,$1,$1.00,"$1,683,029,544","$8,982,652,500"
08/03/2021,$1,$1.00,$0.9999,$1,"$1,441,044,445","$8,934,282,355"
07/03/2021,$0.9999,$1.00,$0.9997,$1,"$1,215,837,774","$8,969,172,584"
06/03/2021,$1.00,$1.00,$0.9995,$0.9999,"$1,275,477,009","$8,822,775,167"
05/03/2021,$1.00,$1.00,$1.00,$1.00,"$1,973,917,285","$8,674,150,228"
04/03/2021,$1.00,$1.00,$0.9999,$1.00,"$1,665,593,866","$8,655,539,972"
03/03/2021,$1.00,$1.00,$0.9998,$1.00,"$1,905,564,606","$8,669,892,780"
02/03/2021,$0.9998,$1.00,$0.9996,$1.00,"$1,949,254,169","$8,752,919,055"
01/03/2021,$1.00,$1.00,$0.9996,$0.9998,"$1,740,798,094","$8,866,076,772"
28/02/2021,$1.00,$1.00,$0.9999,$1.00,"$2,268,777,551","$8,897,551,099"
27/02/2021,$1,$1.00,$0.9998,$1.00,"$1,776,838,289","$8,658,975,906"
26/02/2021,$1.00,$1.00,$0.9997,$1,"$2,459,413,406","$8,594,704,362"
25/02/2021,$1.00,$1.00,$1,$1.00,"$2,301,651,550","$8,328,439,670"
24/02/2021,$1.00,$1.00,$0.9998,$1.00,"$2,427,751,206","$8,132,862,060"
23/02/2021,$1.00,$1.00,$0.9997,$1.00,"$4,522,385,569","$7,981,667,377"
22/02/2021,$0.9999,$1.00,$0.9982,$1.00,"$3,584,165,265","$7,860,140,257"
21/02/2021,$0.9999,$1.00,$0.9997,$0.9999,"$1,945,631,587","$7,738,071,713"
20/02/2021,$1.00,$1.00,$0.9996,$0.9999,"$2,471,881,936","$7,576,682,026"
19/02/2021,$1.00,$1.00,$0.9998,$1.00,"$2,321,201,287","$7,285,741,130"
18/02/2021,$0.9998,$1.00,$0.9998,$1.00,"$2,094,266,690","$7,285,707,194"
17/02/2021,$1.00,$1.00,$0.9997,$0.9998,"$2,132,590,491","$7,284,211,261"
16/02/2021,$1.00,$1.00,$0.9998,$1.00,"$2,062,438,717","$7,286,203,416"
15/02/2021,$1.00,$1.00,$0.9997,$1.00,"$2,214,311,704","$7,285,655,980"
14/02/2021,$0.9999,$1.00,$0.9997,$1.00,"$1,913,316,177","$7,285,556,445"
13/02/2021,$0.9998,$1.00,$0.9996,$0.9999,"$2,279,143,401","$7,110,307,300"
12/02/2021,$0.9999,$1.00,$0.9994,$0.9998,"$2,186,409,043","$6,870,659,117"
11/02/2021,$1.00,$1.00,$0.9994,$0.9998,"$2,045,704,986","$6,832,641,665"
10/02/2021,$1.00,$1.00,$0.9995,$1.00,"$2,156,624,147","$6,733,960,451"
09/02/2021,$0.9998,$1.00,$0.9993,$1.00,"$1,689,656,162","$6,562,229,836"
08/02/2021,$0.9998,$1.00,$0.9982,$0.9998,"$1,791,932,105","$6,439,708,622"
07/02/2021,$1,$1.00,$0.9996,$0.9999,"$1,416,867,095","$6,439,675,444"
06/02/2021,$0.9999,$1.00,$0.9995,$1,"$1,802,646,232","$6,350,202,802"
05/02/2021,$0.9998,$1.00,$0.9983,$0.9999,"$1,722,650,454","$6,283,928,742"
04/02/2021,$0.9998,$1.00,$0.9993,$0.9997,"$1,864,772,386","$6,077,850,665"
