Fecha,Open,High,Low,Close,Volumen,Market_Cap
02/04/2021,$28.74,$30.21,$28.71,$30.18,"$535,780,413","$15,753,767,687"
01/04/2021,$27.98,$30.27,$27.98,$28.74,"$751,718,828","$15,003,733,935"
31/03/2021,$28.49,$28.97,$27.02,$27.99,"$560,514,223","$14,609,704,547"
30/03/2021,$29.12,$29.27,$28.11,$28.49,"$504,391,381","$14,871,243,021"
29/03/2021,$27.84,$29.62,$27.60,$29.12,"$520,880,675","$15,202,459,124"
28/03/2021,$28.14,$29.05,$27.45,$27.84,"$412,582,101","$14,532,441,592"
27/03/2021,$28.93,$29.48,$27.81,$28.13,"$507,932,900","$14,684,711,619"
26/03/2021,$26.65,$29.03,$26.60,$28.97,"$647,332,550","$15,118,637,693"
25/03/2021,$27.44,$27.89,$25.72,$26.68,"$926,532,573","$13,923,601,360"
24/03/2021,$31.06,$31.88,$26.07,$27.60,"$1,266,483,732","$14,403,963,942"
23/03/2021,$32.93,$36.41,$30.53,$31.10,"$1,671,747,241","$16,231,474,955"
22/03/2021,$32.72,$35.86,$31.85,$32.96,"$1,102,796,186","$17,203,476,181"
21/03/2021,$32.21,$33.32,$31.37,$32.68,"$488,482,019","$17,056,448,841"
20/03/2021,$33.33,$35.12,$32.00,$32.20,"$849,531,037","$16,801,490,993"
19/03/2021,$30.01,$34.14,$29.57,$33.26,"$811,698,241","$17,354,345,783"
18/03/2021,$31.25,$31.52,$29.82,$30.03,"$408,556,939","$15,669,652,212"
17/03/2021,$29.94,$31.55,$29.62,$31.34,"$763,515,293","$16,353,287,148"
16/03/2021,$29.83,$30.01,$28.10,$29.93,"$549,084,935","$15,617,039,803"
15/03/2021,$30.75,$31.46,$29.65,$29.82,"$623,504,911","$15,557,340,462"
14/03/2021,$32.51,$33.68,$30.80,$30.80,"$558,846,418","$16,067,786,778"
13/03/2021,$30.98,$33.25,$30.25,$32.53,"$743,952,567","$16,969,706,699"
12/03/2021,$31.04,$31.88,$29.42,$31.01,"$630,829,033","$16,176,859,354"
11/03/2021,$30.91,$31.75,$29.62,$31.03,"$688,330,980","$16,187,185,270"
10/03/2021,$32.88,$33.49,$30.46,$30.97,"$776,104,817","$16,154,301,008"
09/03/2021,$33.29,$34.65,$32.41,$32.86,"$912,214,251","$17,143,384,076"
08/03/2021,$34.28,$34.87,$32.25,$33.29,"$1,249,974,446","$17,352,294,773"
07/03/2021,$28.52,$34.77,$28.52,$34.28,"$1,593,346,979","$17,864,556,536"
06/03/2021,$28.31,$28.95,$27.24,$28.48,"$668,584,460","$14,840,891,542"
05/03/2021,$28.25,$28.73,$25.95,$28.35,"$1,189,024,359","$14,771,381,030"
04/03/2021,$25.43,$29.67,$24.82,$28.26,"$1,805,032,641","$8,811,275,415"
03/03/2021,$25.59,$27.57,$25.36,$25.47,"$754,004,618","$7,938,845,765"
02/03/2021,$25.49,$27.35,$24.64,$25.61,"$1,232,183,265","$7,982,338,225"
01/03/2021,$22.22,$25.45,$22.14,$25.44,"$839,066,478","$7,931,306,354"
28/02/2021,$23.51,$24.05,$20.63,$22.19,"$901,637,423","$6,916,197,524"
27/02/2021,$23.10,$24.73,$22.44,$23.45,"$761,796,613","$7,310,011,684"
26/02/2021,$23.42,$25.12,$21.11,$23.07,"$1,101,820,829","$6,960,566,064"
25/02/2021,$25.25,$26.84,$23.27,$23.27,"$984,151,754","$7,018,879,587"
24/02/2021,$24.65,$27.29,$23.15,$25.26,"$1,423,106,271","$7,617,271,889"
23/02/2021,$27.71,$27.74,$18.53,$24.58,"$2,670,108,296","$7,411,839,336"
22/02/2021,$28.82,$28.99,$22.43,$27.72,"$2,088,659,958","$8,358,512,593"
21/02/2021,$28.91,$31.95,$28.02,$28.83,"$2,165,245,356","$8,692,883,303"
20/02/2021,$20.07,$32.63,$19.57,$29.14,"$4,080,070,578","$8,785,103,362"
19/02/2021,$21.18,$21.50,$19.44,$20.07,"$767,599,936","$6,047,232,824"
18/02/2021,$21.49,$22.23,$20.67,$21.16,"$593,118,926","$6,374,635,543"
17/02/2021,$20.46,$21.74,$19.26,$21.49,"$855,158,976","$6,473,060,597"
16/02/2021,$20.04,$21.28,$19.49,$20.46,"$881,473,851","$6,162,486,894"
15/02/2021,$20.90,$21.47,$17.63,$20.06,"$1,274,415,766","$6,043,357,017"
14/02/2021,$21.81,$22.57,$20.83,$20.93,"$782,187,072","$6,305,047,040"
13/02/2021,$22.73,$23.47,$21.34,$21.81,"$969,494,116","$6,568,455,014"
12/02/2021,$21.54,$23.60,$21.27,$22.75,"$1,324,482,439","$6,850,114,250"
11/02/2021,$20.72,$21.91,$20.21,$21.55,"$940,200,135","$6,490,772,819"
10/02/2021,$19.52,$22.36,$19.52,$20.74,"$1,513,117,186","$6,245,125,353"
09/02/2021,$19.35,$19.91,$18.94,$19.53,"$822,779,049","$5,880,281,976"
08/02/2021,$18.67,$20.11,$18.18,$19.35,"$1,100,318,952","$5,822,309,468"
07/02/2021,$19.28,$19.63,$17.16,$18.69,"$1,078,369,272","$5,623,224,622"
06/02/2021,$21.18,$21.59,$19.27,$19.30,"$1,073,623,434","$5,806,814,611"
05/02/2021,$20.14,$22.27,$19.80,$21.19,"$1,243,281,252","$6,373,378,133"
04/02/2021,$19.78,$21.51,$19.53,$20.15,"$1,355,026,915","$5,839,080,530"
