Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$4.11,$4.30,$4.01,$4.10,"$7,275,811","$912,441,461"
09/04/2021,$4.14,$4.26,$4.02,$4.09,"$6,472,502","$909,645,531"
08/04/2021,$4.15,$4.41,$4.12,$4.14,"$10,708,089","$920,048,505"
07/04/2021,$4.00,$4.47,$3.81,$4.23,"$14,732,616","$941,202,427"
06/04/2021,$4.23,$4.29,$3.95,$4.00,"$10,560,765","$888,124,832"
05/04/2021,$4.04,$4.71,$3.98,$4.22,"$15,623,723","$937,493,959"
04/04/2021,$4.00,$4.23,$3.95,$4.06,"$9,121,634","$901,534,652"
03/04/2021,$4.13,$4.45,$3.88,$4.01,"$22,875,338","$890,824,133"
02/04/2021,$4.44,$4.53,$4.13,$4.15,"$15,288,050","$921,958,991"
01/04/2021,$4.83,$4.89,$4.42,$4.45,"$9,983,176","$988,353,950"
31/03/2021,$4.66,$4.93,$4.51,$4.83,"$9,933,569","$1,074,157,121"
30/03/2021,$4.98,$4.99,$4.59,$4.66,"$8,695,270","$1,035,074,167"
29/03/2021,$4.85,$5.03,$4.70,$4.98,"$7,134,749","$1,106,295,274"
28/03/2021,$5.02,$5.12,$4.65,$4.85,"$7,090,684","$1,077,231,773"
27/03/2021,$5.35,$5.49,$4.95,$5.03,"$10,416,113","$1,117,446,927"
26/03/2021,$4.26,$5.40,$4.24,$5.37,"$15,419,353","$1,194,431,861"
25/03/2021,$4.26,$4.71,$4.12,$4.26,"$11,712,975","$946,853,753"
24/03/2021,$4.04,$5.26,$3.91,$4.25,"$19,733,047","$945,074,447"
23/03/2021,$4.50,$4.68,$3.87,$4.04,"$18,482,353","$897,299,078"
22/03/2021,$4.64,$4.84,$4.39,$4.58,"$11,574,442","$1,017,650,489"
21/03/2021,$4.61,$4.87,$4.35,$4.64,"$14,176,857","$1,032,076,248"
20/03/2021,$4.84,$4.88,$4.59,$4.62,"$15,864,370","$1,026,754,735"
19/03/2021,$4.99,$5.07,$4.78,$4.85,"$10,845,674","$1,078,525,686"
18/03/2021,$5.26,$5.27,$4.72,$4.98,"$11,090,524","$1,107,350,960"
17/03/2021,$5.04,$5.40,$4.76,$5.24,"$13,426,723","$1,165,186,277"
16/03/2021,$5.47,$5.81,$4.82,$5.04,"$18,160,743","$1,119,773,336"
15/03/2021,$4.93,$6.02,$4.71,$5.50,"$18,762,844","$1,221,720,732"
14/03/2021,$5.09,$5.41,$4.77,$4.95,"$15,366,296","$1,099,330,356"
13/03/2021,$5.25,$5.49,$5.05,$5.11,"$15,238,551","$1,136,017,740"
12/03/2021,$5.56,$5.87,$5.08,$5.26,"$15,023,278","$1,168,541,677"
11/03/2021,$5.80,$5.90,$5.47,$5.57,"$8,772,633","$1,237,890,549"
10/03/2021,$6.02,$6.11,$5.64,$5.80,"$10,504,835","$1,289,800,565"
09/03/2021,$5.67,$6.26,$5.37,$6.02,"$22,685,927","$1,337,351,345"
08/03/2021,$6.08,$6.14,$5.64,$5.66,"$10,381,007","$1,257,854,593"
07/03/2021,$5.78,$6.50,$5.76,$6.09,"$10,508,339","$1,353,829,794"
06/03/2021,$5.70,$5.95,$5.36,$5.78,"$9,311,247","$1,285,938,405"
05/03/2021,$5.74,$6.55,$5.24,$5.68,"$31,582,664","$1,262,759,483"
04/03/2021,$6.46,$6.47,$5.50,$5.70,"$18,515,116","$1,267,624,626"
03/03/2021,$6.57,$6.86,$6.41,$6.46,"$12,864,239","$1,435,568,816"
02/03/2021,$6.96,$6.98,$6.39,$6.59,"$9,539,709","$1,463,820,560"
01/03/2021,$6.37,$7.08,$6.25,$6.97,"$18,184,799","$1,549,484,724"
28/02/2021,$5.91,$6.56,$5.21,$6.34,"$23,537,887","$1,408,509,770"
27/02/2021,$6.44,$6.52,$5.68,$5.93,"$26,016,946","$1,318,308,449"
26/02/2021,$6.94,$7.01,$6.27,$6.44,"$19,687,228","$1,431,673,160"
25/02/2021,$6.89,$7.24,$6.57,$6.93,"$29,964,075","$1,541,485,417"
24/02/2021,$5.95,$7.26,$5.61,$6.88,"$32,001,721","$1,529,284,156"
23/02/2021,$6.17,$6.53,$4.39,$5.94,"$49,811,095","$1,319,572,290"
22/02/2021,$6.88,$6.88,$4.94,$6.20,"$44,515,808","$1,377,175,889"
21/02/2021,$6.91,$7.21,$6.34,$6.83,"$36,348,315","$1,518,151,109"
20/02/2021,$5.81,$7.22,$5.48,$6.90,"$64,474,788","$1,534,358,971"
19/02/2021,$4.72,$6.14,$4.69,$5.85,"$49,952,537","$1,300,413,202"
18/02/2021,$3.92,$4.73,$3.86,$4.73,"$23,250,905","$1,051,299,863"
17/02/2021,$3.58,$4.00,$3.46,$3.92,"$11,657,201","$870,638,887"
16/02/2021,$3.55,$3.72,$3.45,$3.60,"$8,082,415","$799,609,168"
15/02/2021,$3.82,$3.87,$3.34,$3.52,"$11,142,159","$782,888,368"
14/02/2021,$3.98,$4.00,$3.41,$3.81,"$13,135,156","$847,677,882"
13/02/2021,$3.46,$4.22,$3.30,$3.98,"$32,348,901","$884,783,951"
12/02/2021,$2.39,$3.78,$2.37,$3.46,"$50,414,419","$770,212,161"
