Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$1.02,$1.39,$1.01,$1.37,"$25,547,794,935","$62,404,026,788"
09/04/2021,$1.05,$1.08,$0.9866,$1.02,"$10,235,269,531","$46,350,091,394"
08/04/2021,$0.9191,$1.07,$0.9056,$1.05,"$12,888,349,509","$47,799,382,930"
07/04/2021,$1.10,$1.10,$0.8694,$0.9176,"$21,942,171,678","$41,661,654,118"
06/04/2021,$0.9169,$1.12,$0.8244,$1.10,"$36,955,175,105","$49,774,875,598"
05/04/2021,$0.6467,$0.9369,$0.634,$0.9205,"$26,415,199,263","$41,793,184,885"
04/04/2021,$0.5909,$0.647,$0.583,$0.6467,"$4,613,898,769","$29,364,108,461"
03/04/2021,$0.6168,$0.6534,$0.5877,$0.5909,"$6,757,992,981","$26,829,923,528"
02/04/2021,$0.5794,$0.6174,$0.5752,$0.6166,"$5,404,854,336","$27,994,707,394"
01/04/2021,$0.574,$0.5958,$0.559,$0.5793,"$4,725,008,531","$26,302,184,999"
31/03/2021,$0.5668,$0.5792,$0.5447,$0.5739,"$4,849,764,990","$26,055,985,343"
30/03/2021,$0.5677,$0.5859,$0.5631,$0.5669,"$3,831,603,058","$25,737,663,165"
29/03/2021,$0.5506,$0.5707,$0.5482,$0.5679,"$3,549,650,231","$25,783,622,951"
28/03/2021,$0.5504,$0.5622,$0.5455,$0.5508,"$2,795,107,715","$25,006,533,342"
27/03/2021,$0.5672,$0.5759,$0.5398,$0.5504,"$3,684,247,475","$24,992,351,034"
26/03/2021,$0.5174,$0.575,$0.5165,$0.5671,"$5,807,865,028","$25,746,588,636"
25/03/2021,$0.4882,$0.5274,$0.4711,$0.5175,"$6,061,921,454","$23,496,509,077"
24/03/2021,$0.5563,$0.5647,$0.4693,$0.4888,"$5,446,433,135","$22,195,159,228"
23/03/2021,$0.5501,$0.5993,$0.544,$0.5566,"$7,610,195,005","$25,271,657,446"
22/03/2021,$0.5198,$0.6026,$0.5055,$0.5499,"$9,732,075,816","$24,969,563,563"
21/03/2021,$0.5274,$0.5464,$0.4999,$0.5198,"$5,539,749,484","$23,602,621,699"
20/03/2021,$0.4711,$0.5529,$0.4702,$0.527,"$6,757,879,312","$23,927,507,591"
19/03/2021,$0.4728,$0.4784,$0.4634,$0.4712,"$2,626,051,305","$21,393,057,091"
18/03/2021,$0.4724,$0.4908,$0.4558,$0.4729,"$3,265,976,425","$21,472,444,568"
17/03/2021,$0.4628,$0.4833,$0.4571,$0.4724,"$4,341,765,347","$21,449,637,130"
16/03/2021,$0.4375,$0.515,$0.4301,$0.4626,"$7,382,009,786","$21,003,902,721"
15/03/2021,$0.4421,$0.4483,$0.4265,$0.4376,"$3,116,009,271","$19,866,760,408"
