Fecha,Open,High,Low,Close,Volumen,Market_Cap
10/04/2021,$0.2191,$0.2196,$0.2023,$0.2082,"$177,111,251","$2,322,468,014"
09/04/2021,$0.2064,$0.2197,$0.2004,$0.2184,"$183,036,914","$2,435,827,137"
08/04/2021,$0.1914,$0.209,$0.19,$0.2065,"$183,475,380","$2,301,944,125"
07/04/2021,$0.2057,$0.2061,$0.1823,$0.1912,"$251,340,102","$2,130,208,219"
06/04/2021,$0.212,$0.2219,$0.1952,$0.2057,"$314,846,518","$2,290,906,531"
05/04/2021,$0.2246,$0.2312,$0.2087,$0.2118,"$395,033,725","$2,358,730,207"
04/04/2021,$0.1845,$0.2269,$0.183,$0.2218,"$446,302,813","$2,468,779,008"
03/04/2021,$0.2055,$0.2113,$0.1837,$0.1844,"$277,718,896","$2,052,213,276"
02/04/2021,$0.1804,$0.2202,$0.1788,$0.2049,"$481,280,026","$2,279,434,865"
01/04/2021,$0.1781,$0.1836,$0.1743,$0.1806,"$181,618,645","$2,008,507,524"
31/03/2021,$0.1849,$0.1886,$0.171,$0.1782,"$231,564,676","$1,980,625,755"
30/03/2021,$0.1792,$0.1898,$0.1753,$0.1849,"$193,026,957","$2,054,241,474"
29/03/2021,$0.1727,$0.181,$0.1713,$0.179,"$166,862,452","$1,988,702,331"
28/03/2021,$0.1675,$0.1768,$0.1645,$0.1728,"$171,054,939","$1,918,730,615"
27/03/2021,$0.1682,$0.1729,$0.1615,$0.1673,"$132,753,361","$1,857,537,950"
26/03/2021,$0.1552,$0.1688,$0.1552,$0.1683,"$149,004,693","$1,867,210,143"
25/03/2021,$0.1585,$0.163,$0.1488,$0.1552,"$218,088,564","$1,722,041,075"
24/03/2021,$0.1679,$0.1835,$0.154,$0.1589,"$266,697,773","$1,761,945,062"
23/03/2021,$0.163,$0.1701,$0.1555,$0.1682,"$223,138,496","$1,864,511,992"
22/03/2021,$0.1753,$0.1833,$0.1627,$0.1632,"$205,177,080","$1,808,428,216"
21/03/2021,$0.172,$0.1768,$0.1664,$0.1752,"$177,620,897","$1,940,307,356"
20/03/2021,$0.1849,$0.191,$0.1721,$0.1721,"$226,225,514","$1,906,128,895"
19/03/2021,$0.18,$0.1942,$0.1749,$0.1846,"$281,197,450","$2,043,602,468"
